feuille;categorie;titre;description;responsable;priorite;statut;commentaire
Orinasa;;Référence enregistrement : Ajouter un onglet libre pour les autres actes enregistrés  Ajouter un onglet pour PV d’ouverture d’une succursale *Si possible basculement à partir de la facture proforma;Au niveau base de données :  Mifandray @ liste document ka tsy afaka atao dynamique. Solution : raha misy ampidirina dia tsimaintsy miteny aty @ ekipa dev dia ampidirinay ao @ table documentEnregistrement ny document mifandray amin’izay. Ohatra : efa napetraka anay ao ny PV d’ouverture d’une succursale;;;;
Orinasa;Nouvelle fonctionnalité;Mettre en place l'historique de modification des dossiers de création.;Les agents doivent pouvoir suivre l'évolution des dossiers de création, la màj des statuts, les modifications effectuées par les usagers, etc.  Eventuellement, pouvoir retracer de manière explicite tous les évènements lors du traitement du dossier (changement de statut, panne interop, attente d’une autorisation, etc.);Equipe développement;Moyenne;A faire;
Orinasa;Amélioration;Bloquer les modifications d'un dossier après la validation d'un dossier;Un dossier ne doit plus être modifiable lorsque les agents l’ont marqué en recevable (Traitement OK). Pour qu'un usager puisse effectuer une modification sur un dossier recevable, ajouter une fonctionnalité qui permette à un agent de valider la modification.;Equipe développement;Haute;A faire;
Orinasa;Amélioration;Modification du comportement de traitement des dossiers durant l'étude de recevabilité;> Lorsqu’un agent prend en charge un dossier avec le statut "Nouveau" ou "Mis à jour", celui-ci passe automatiquement au statut "En cours" dès qu’un commentaire est ajouté par l’un des départements concernés. > Le statut du dossier reste "En cours" tant que les trois départements n’ont pas tous ajouté leurs commentaires. > Ce n’est qu’une fois tous les commentaires saisis par les départements que le dossier évolue vers le statut "Traitement OK" ou "Traitement KO". > Les commentaires ne sont pas envoyés individuellement au client. Ils sont regroupés dans un seul e-mail, qui est envoyé uniquement lorsque chaque département a soumis son commentaire. > Si un ou plusieurs départements ne saisissent pas leurs commentaires dans un délai de 24 heures, les commentaires déjà enregistrés sont envoyés automatiquement au client, même s’ils sont partiels.;Equipe développement;Moyenne;Terminés;Séparation des dossiers "nouveau" et "soumis"  Les dossiers restent en statut en cours tant que toutes les entités soumettent leur validation  KO si l'un d'entre les entités soumis dossier KO OK si les trois soumis OK
Orinasa;Amélioration;Modification à effectuer sur le bailleur "Personne morale" à l’étape 3;> Le libellé actuel "Personne morale" doit être remplacé par "Personne morale / EI". > Ajouter les nouvelles options suivantes dans la liste des formes juridiques : Association / ONG / EI / Autres > Le champ "Capital" ne doit pas être obligatoire lorsque la forme juridique sélectionnée est "ONG" ou "Association".;Equipe développement;Moyenne;A faire;
Orinasa;Amélioration;Contrôle de doublon à l’étape 1 – Saisie de la société;Lorsqu’un usager saisit une nouvelle société à l’étape 1, un contrôle de doublon est effectué afin de vérifier si une société portant le même nom, appartenant au même usager, existe déjà en base de données. Si une telle société existe déjà, la saisie d’une nouvelle société n’est pas autorisée. Un message doit inviter l’usager à modifier ou poursuivre le traitement de la société déjà enregistrée.  Objectif : Éviter la création de plusieurs dossiers pour une même société appartenant à un même usager.;Equipe développement;Moyenne;OK;
Orinasa;Amélioration;Modification du message de convocation à un rendez-vous (RDV);Contenu du message à modifier : Ajouter dans le message envoyé à l’usager la mention suivante : "En cas d’indisponibilité pour honorer le rendez-vous fixé, veuillez contacter directement le standard de l’EDBM."  Restriction à vérifier : S’assurer que l’usager ne puisse pas répondre ou envoyer un message via la plateforme en retour de la convocation.;Equipe développement;Moyenne;OK;
Orinasa;Site web d'information;Quelques modifications à effectuer sur le site vitrine;Dans “ les outils à votre disposition”: - erreur de frappe: formalisée - le simulateur de frais au lieu de la simulateur  Dans la statistique sur le traitement des dossiers : - que veut dire formaliser votre entreprise dans le temps ? ( à modifier le terme si inapproprié pour le sens de la phrase)  Dans créer mon entreprise, créer mon entreprise en ligne: mode d’emploi, étape 2: - Enlever la dernière phrase sur l’envoi de message à l’Edbm. - Étape 3: enlever “pour” ( doublon)  Dans liste des documents par forme juridique : - Pour toutes formes juridiques : conformer les pièces justificatives au bail selon la liste des dossiers à fournir à jour , Pour pièces des dirigeants : enlever certificat de résidence - Pour forme juridique SARL : à vérifier et à modifier en conséquence : “ pour toutes personnes morales, les statuts est...” - Pour forme juridique SA : à ajouter administrateur sur la liste des dirigeants entre parenthèses - Pour pièces du CAC: on n’exige pas ces pièces pour les CAC personnes physiques  Dans Ressources - démarches-étape 2: - Pièces justificatives du bail à modifier conformément à la liste des dossiers à fournir à jour;Equipe développement;Haute;OK;
Orinasa;Amélioration;Exclusion du Commissaire aux comptes dans l’envoi de données vers NIFOnline;Lors des échanges de données entre les plateformes Orinasa et NIFOnline, les informations relatives au Commissaire aux comptes doivent être systématiquement exclues.;Equipe développement;Moyenne;A faire;
Orinasa;Bug;À vérifier : Absence du gérant dans les statuts générés;;Equipe développement;Haute;A faire;
